stil,Han har en elegant og minimalistisk stil.
dekorasjon,Juledekorasjonen var vakker i år.
ornament,Kirken hadde mange fine ornamenter.
håndverk,De selger vakkert håndverk i butikken.
kreativitet,Kreativitet er viktig i denne jobben.
fantasi,Bruk fantasien din når du skriver.
inspirasjon,Naturen er en stor inspirasjonskilde for meg.
uttrykk,Hennes kunstneriske uttrykk er unikt.
originalitet,Vi ser etter originalitet i prosjektene.
komposisjon,Han analyserte komposisjonen av maleriet.
estetikk,Huset hadde en flott estetikk.
visuell kunst,Maleri og skulptur er visuell kunst.
idé,Jeg fikk en god idé til en ny bok.
konsept,De utviklet et nytt konsept for markedsføring.
prosjekt,Vi jobber med et stort prosjekt nå.
utstilling,Gå og se den nye utstillingen i museet.
atelier,Kunstneren maler i sitt atelier.
galleri,Bildene skal stilles ut i et galleri.
kunstner,Hvem er din favorittkunstner?
arkitektur,Studiet av arkitektur er spennende.
installasjon,Den moderne installasjonen fylte hele rommet.
performance,Performance-kunsten var uventet og unik.
filmkunst,Han studerer filmkunst på universitetet.
digital kunst,Hun lager digital kunst på datamaskinen.
collage,Jeg laget en collage av gamle bilder.
inspirasjonskilde,Han fant en ny inspirasjonskilde i reisen.
kunsthistorie,Kunsthistorie er et populært fag.
designprosess,Designprosessen tok lang tid.
formgivning,De lærte om formgivning i klassen.
skaperkraft,Menneskets skaperkraft er uendelig.
sjakk,Han er veldig god i sjakk.
kortspill,Vi spilte et kortspill hele kvelden.
brettspill,Brettspill er en fin familieaktivitet.
puslespill,Vi la et stort puslespill sammen.
lego,Barna bygger et hus med Lego.
mynter,Han samler på gamle mynter.
maling,Maling er hennes favoritthobby.
tegning,Han liker å drive med tegning.
fotografi,Fotografi er en viktig kunstform.
skriving,Skriving hjelper meg å tenke.
lesing,Lesing er en avslappende hobby.
poesi,Hun skriver vakker poesi om kjærlighet.
instrument,Hvilket instrument spiller du?
musikk,Vi hørte på høy musikk fra naboen.
hobby,Hva er din favoritthobby i fritiden?
fritid,Jeg bruker min fritid til å lese.
lek,Barn elsker å leke ute i parken.
konkurranse,De deltok i en hard konkurranse.
kort,Hun trakk et kort fra bunken.
domino,Vi spilte domino etter middag.
quiz,Vi hadde en morsom quiz på puben.
dataspill,Han spiller dataspill på kveldene.
videospill,Videospill er populært blant ungdom.
strikking,Bestemor er flink til strikking.
hekling,Hun lærte seg hekling gjennom YouTube.
frimerkesamling,Frimerkesamling er en gammel hobby.
håndverk,De lager vakkert håndverk i tre.
DIY,Hun elsker DIY-prosjekter i huset.
brettspillkveld,Vi arrangerer en brettspillkveld på lørdag.
lego-bygging,Lego-bygging er en fin aktivitet for alle aldre.
modellbygging,Han driver med detaljert modellbygging.
hobbyrom,Jeg innredet et lite hobbyrom i kjelleren.
kunsthåndverk,Butikken selger lokalt kunsthåndverk.
keramikk,Vi laget kopper og boller i keramikk.
keramikkmaleri,Hun lager fine mønstre i keramikkmaleri.
utendørslek,Utendørslek er viktig for barna.
camping,Vi skal på camping i fjellet til sommeren.
fiske,Fiske er en avslappende hobby.
friluft,Han liker å tilbringe tid i friluft.
eventyrspill,Vi spilte et spennende eventyrspill i går.
strategi,Strategi er viktig i sjakk.
rollespill,De deltok i et laiv-rollespill.
rollespillverden,De skapte sin egen rollespillverden.
cosplay,Hun er kjent for sitt fantastiske cosplay.
samling,Han har en stor samling av tegneserier.
malingsteknikk,Hun lærte en ny malingsteknikk på kurset.
tegneteknikk,Han forbedret sin tegneteknikk med øvelse.
hobbyklubb,Jeg meldte meg inn i en hobbyklubb.
sportshobby,Løping er hennes favorittsportshobby.
rubiks,Han kan løse en Rubiks kube på få sekunder.
fotball,Fotball er den mest populære sporten.
håndball,Vi ser på håndball-kampen på TV.
basketball,Basketball krever mye hopping.
volleyball,De spiller volleyball på stranden.
løping,Løping er god kondisjonstrening.
jogging,Jeg tar en kort jogging-tur hver morgen.
svømming,Svømming er bra for hele kroppen.
sykling,Vi skal på lang sykling-tur i helgen.
ski,Nordmenn elsker å gå på ski.
skøyter,Barna gikk på skøyter på isen.
turgåing,Turgåing i fjellet er fantastisk.
lek,De voksne deltok i leken også.
aktivitet,Hvilken aktivitet liker du best?
fritid,Jeg bruker min fritid til å slappe av.
rekreasjon,Ferie er viktig for rekreasjon.
lag,Hun spiller på et godt lag.
spiller,Han er en dyktig spiller i klubben.
trener,Treneren ga oss gode råd.
mål,Han scoret et vakkert mål i siste minutt.
poeng,Hvem fikk flest poeng i quizen?
friidrett,Friidrett er en populær sport om sommeren.
styrketrening,Han driver med styrketrening tre ganger i uken.
aerobics,Aerobics er god trening for hjertet.
yoga,Jeg starter dagen med yoga og meditasjon.
pilates,Pilates er bra for kjernemuskulaturen.
dans,Hun elsker å danse moderne dans.
ishockey,Ishockey er en rask og tøff sport.
tennis,De spilte tennis i to timer.
badminton,Badminton spilles ofte i gymsalen.
golf,Golf er en avslappende sport.
kampsport,Kampsport krever disiplin.
karate,Han har sort belte i karate.
judo,Judo er en japansk kampsport.
boksing,Boksing er en fysisk krevende sport.
friidrettsøvelser,Friidrettsøvelser inkluderer løp og kast.
hopping,Hopping i lengde er en teknisk øvelse.
kasting,Kasting av spyd krever styrke.
konkurranse,Det var en tøff konkurranse mellom lagene.
turnering,De vant hele turneringen i helgen.
kamp,Se kampen direkte på TV i kveld.
friluftsliv,Friluftsliv er populært i Norge.
fjelltur,Vi skal på lang fjelltur til høsten.
padling,Padling i kano er en fin måte å se naturen på.
kano,De leide en kano for turen.
kajakk,Han har en egen kajakk til bruk på sjøen.
fiske,Fiske i elven er avslappende.
jakt,Jakt er regulert av strenge lover.
maraton,Hun løp hele maraton på under fire timer.
stafett,De vant stafetten med god margin.
hinderløype,Militæret trente i en vanskelig hinderløype.
svømmehall,Vi går i svømmehallen hver tirsdag.
film,Vi så en spennende film i går.
TV,Jeg ser lite på TV for tiden.
radio,Jeg hører på radio på vei til jobb.
avis,Har du lest dagens avis?
magasin,Jeg kjøper et magasin på flyplassen.
nyheter,Vi følger med på nyhetene hver kveld.
underholdning,De tilbød god underholdning på festen.
show,Det var et fantastisk show med dans og sang.
scene,Vokalisten sto alene på scenen.
teater,Vi skal i teateret neste helg.
spill,Hun elsker å spille spill på mobilen.
seer,Seerne elsket det nye programmet.
publikum,Publikum lo høyt av vitsene.
billetter,Kjøp billetter i god tid.
kommentar,Han skrev en lang kommentar på innlegget.
streaming,Streaming av film er veldig populært.
internett,Jeg fant informasjonen på internett.
nettavis,Jeg leser nettavisen hver morgen.
blogg,Hun skriver en populær blogg om mat.
sosiale medier,Sosiale medier kan være både bra og dårlig.
undertekst,Jeg ser filmer med undertekst.
kanaler,TV-en har mange forskjellige kanaler.
sending,Dagens sending av nyhetene starter nå.
sendingstid,Hva er sendingstiden for programmet?
reklamepause,Filmen ble avbrutt av en reklamepause.
videospill,Videospill kan være veldig engasjerende.
serie,De ser på en ny TV-serie på Netflix.
dokumentar,Dokumentaren handlet om dyreliv i Afrika.
reklame,Det er for mye reklame på TV.
podcast,Jeg hører på en interessant podcast nå.
reportasje,Journalisten laget en god reportasje fra krigen.
skuespill,De satte opp et nytt skuespill på teateret.
komedie,Jeg foretrekker komedie fremfor drama.
drama,Filmen var et sterkt drama.
reality,Reality-programmer er lett underholdning.
konkurranse,De vant sangkonkurransen i finalen.
talkshow,Programmet er et populært talkshow.
talkprogram,Hun leder et kjent talkprogram.
musikkvideo,Artisten slapp en ny musikkvideo.
vlog,Han poster en ny vlog hver uke.
influencer,Hun er en stor influencer på Instagram.
anmeldelse,Boken fikk en god anmeldelse i avisen.
kritikk,Filmen fikk mye kritikk for slutten.
premieren,Vi var på premieren av filmen.
abonnent,Hun er en betalende abonnent på tjenesten.
voiceover,Voiceoveren forklarte handlingen i filmen.
programleder,Programlederen introduserte gjestene.
redaksjon,Han jobber i redaksjonen i et magasin.
produksjon,Filmproduksjonen tok over et år.
instruksjon,Følg instruksjonene i spillmanualen.
event,Det var et stort event i sentrum.
festival,Vi skal på musikkfestival i sommer.
bok,Jeg leser en spennende bok nå.
tekst,Skriv en kort tekst om deg selv.
lesing,Lesing er viktig for å lære.
skriving,Hun driver med kreativ skriving på kveldene.
forfatter,Hvem er forfatteren av denne boken?
setning,Hver setning må starte med stor bokstav.
ordvalg,Hun har et presist ordvalg i sine tekster.
stil,Han har en enkel og klar stil.
historie,Fortell meg en god historie.
fortelling,Bestemor leste en fin fortelling.
novelle,Hun skrev en kort novelle til en konkurranse.
dikt,Jeg leste et vakkert dikt i går.
vits,Han fortalte en morsom vits ved bordet.
kapittel,Hvor mange kapitler har boken?
avsnitt,Start et nytt avsnitt for hver ny tanke.
innledning,Innledningen i rapporten var kort.
avslutning,Filmen hadde en overraskende avslutning.
dialog,Dialogen i teaterstykket var smart.
skildring,Boken hadde en god skildring av naturen.
spørsmål,Jeg har et spørsmål til deg.
svar,Gi meg et raskt svar på e-posten.
notat,Jeg skrev et notat i boken min.
utkast,Dette er bare et første utkast til romanen.
publisering,Publisering av boken er neste måned.
trykk,Boken gikk i nytt trykk etter kort tid.
leser,Hvem er den typiske leseren av dette magasinet?
litteratur,Norsk litteratur er rik og variert.
poesi,Han elsker å lese moderne poesi.
dramatikk,Dramatikk er kunsten å skrive skuespill.
fabel,Fabelen hadde en viktig moralsk lærdom.
eventyr,Jeg leste et gammelt eventyr for barnet.
saga,Islendingene skrev mange historiske sagaer.
roman,Hennes første roman ble en bestselger.
essay,Hun skrev et filosofisk essay om lykke.
manus,Skuespillerne leste fra manuset.
forteller,Fortelleren i boken var upålitelig.
hovedperson,Hovedpersonen i filmen heter Emma.
biperson,En biperson kan også være viktig for historien.
handling,Handlingen i filmen var veldig spennende.
tema,Temaet i diktet er kjærlighet og tap.
motiv,Gjennomgangsmotivet var vann og elver.
konflikt,Konflikten mellom brødrene eskalerte.
klimaks,Klimakset i boken var uventet.
sjanger,Hvilken sjanger liker du best?
kritikk,Han tålte ikke konstruktiv kritikk.
analyse,Vi skal skrive en litterær analyse av diktet.
referat,Hun skrev et kort referat fra møtet.
